Medical Billing Manager,https://www.rozee.pk/med-dabster-llc-medical-billing-manager-bahawalpur-jobs-1559892?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559892&utm_campaign=ROZEE.PK_job_search,Med Dabster LLC,//www.rozee.pk/company/med-dabster-llc,Bahawalpur,"PKR. 80,000 - 150,000/Month",65 views,Posted Yesterday,Null,"Customer Service,Leadership Management,Revenue Cycle Management,Data Analytics,Fluent in English,Customer Satisfaction Management,Leadership Development,Billing Solutions,General Medical Knowledge",Healthcare / Hospital / Medical,Health & Medicine,1 Post,Third Shift (Night),Full Time/Permanent,Bahawalpur,Male,Bachelors,Experienced Professional,5 Years,"Jan 26, 2025","Dec 25, 2024"
Medical Billing Executive,https://www.rozee.pk/med-dabster-llc-medical-billing-executive-bahawalpur-jobs-1557944?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557944&utm_campaign=ROZEE.PK_job_search,Med Dabster LLC,//www.rozee.pk/company/med-dabster-llc,Bahawalpur,"PKR. 80,000 - 100,000/Month",318 views,"Posted Dec 19, 2024",Null,"Reporting Abilities,Billing Services Knowledge,Communication Skills",Healthcare / Hospital / Medical,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,Bahawalpur,No Preference,Intermediate/A-Level,Experienced Professional,N/A,"Jan 20, 2025","Dec 19, 2024"
Laravel Developer,https://www.rozee.pk/conjoint-media-laravel-developer-islamabad-faisalabad-karachi-lahore-multan-bahawalpur-jobs-1557806?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557806&utm_campaign=ROZEE.PK_job_search,Conjoint Media,//www.rozee.pk/company/conjoint-media,Multiple Cities,"PKR. 60,000 - 100,000/Month",239 views,"Posted Dec 19, 2024",Null,"CRM Development,PHP,Laravel Development",Information Technology,Software & Web Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Multan, Bahawalpur",No Preference,Bachelors,Experienced Professional,3 Years,"Jan 20, 2025","Dec 19, 2024"
Sales / Business Development Manager,https://www.rozee.pk/ease-international-sales-business-development-manager-all-cities-jobs-1558722?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558722&utm_campaign=ROZEE.PK_job_search,Ease International,//www.rozee.pk/company/ease-international,All Cities,N/A,1970 views,Posted 4 days ago,Null,"Sales Management,Sales Automation,Business Development Process,Coordination Skills",Business Development,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Masters,Experienced Professional,N/A,"Jan 22, 2025","Dec 22, 2024"
Admin Manager,https://www.rozee.pk/beyond-rehab-group-admin-manager-islamabad-karachi-lahore-peshawar-quetta-rawalpindi-gilgit-jobs-1558748?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558748&utm_campaign=ROZEE.PK_job_search,Beyond Rehab Group,//www.rozee.pk/company/beyond-rehab-group,All Cities,"PKR. 100,000 - 175,000/Month",3591 views,Posted 3 days ago,Null,"Communication Skills,Admin Operations Management,Admin Management",Healthcare / Hospital / Medical,Administration,1 Post,Work from Home,Full Time/Permanent,All Cities,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 23, 2025","Dec 23, 2024"
Relationship Manager - Retail,https://www.rozee.pk/united-bank-limited-ubl-relationship-manager-retail-all-cities-jobs-1358368?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1358368&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 80,000 - 150,000/Month",395746 views,"Posted Dec 17, 2024",Null,"Administration Knowledge,Relationship Management,Telemarketing  Skills",Banking/Financial Services,Retail,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Bachelors,Entry Level,N/A,"Jan 18, 2025","Dec 17, 2024"
Trade & Credit Associate,https://www.rozee.pk/united-bank-limited-ubl-trade-credit-associate-all-cities-jobs-1531626?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1531626&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 70,000 - 80,000/Month",69485 views,"Posted Dec 17, 2024",Null,"Client Dealing Market Knowledge,Trade Finance Knowledge,Relationship Management",Banking/Financial Services,Client Services & Customer Support,35+ Posts,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Bachelors,Entry Level,N/A,"Jan 18, 2025","Dec 17, 2024"
Story Narrator,https://www.rozee.pk/micro-world-story-narrator-islamabad-karachi-multan-rawalpindi-bahawalpur-jobs-1557470?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557470&utm_campaign=ROZEE.PK_job_search,Micro World,//www.rozee.pk/company/micro-world,Multiple Cities,"PKR. 20,000 - 100,000/Month",459 views,"Posted Dec 18, 2024",Null,"English Grammar,Fluent in English,Manga,Ai Tools",Information Technology,Writer,10 Posts,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Multan, Rawalpindi, Bahawalpur",No Preference,Intermediate/A-Level,Entry Level,Less than 1 Year,"Jan 19, 2025","Dec 18, 2024"
Call Center Agent,https://www.rozee.pk/al-amal-telecommunication-call-center-agent-multan-bahawalpur-jobs-1554308?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1554308&utm_campaign=ROZEE.PK_job_search,Al Amal Telecommunication,//www.rozee.pk/company/al-amal-telecommunication1,Multiple Cities,N/A,644 views,"Posted Dec 09, 2024",Null,"Handle Outbound Calls,Fluent in English,Confidential Documents Handling,Product Distribution Skills",Telecommunication / ISP,Telemarketing,35+ Posts,First Shift (Day),Full Time/Permanent,"Multan, Bahawalpur",Female,Bachelors,Entry Level,Fresh,"Jan 10, 2025","Dec 09, 2024"
Officer Grade - IV Non-Graduate Program,https://www.rozee.pk/united-bank-limited-ubl-officer-grade-iv-non-graduate-program-all-cities-jobs-1518854?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1518854&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 40,000 - 45,000/Month",815148 views,"Posted Dec 12, 2024",Null,"Admin Operations Management,Quick Learner,Market Knowledge,Customer Care Representation",Banking/Financial Services,Client Services & Customer Support,35+ Posts,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Matriculation/O-Level,Entry Level,N/A,"Jan 13, 2025","Dec 12, 2024"
