Call Center Agent,https://www.rozee.pk/provider-ms-communications-call-center-agent-karachi-jobs-1559180?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559180&utm_campaign=ROZEE.PK_job_search,Provider MS Communications,//www.rozee.pk/company/provider-ms-communications,Karachi,"PKR. 14,000 - 30,000/Month",199 views,Posted 2 days ago,Null,"Telemarketing  Skills,Fluent in English,Handle Outbound Calls",Call Center,Telemarketing,10 Posts,Third Shift (Night),Full Time/Permanent,Karachi,No Preference,Matriculation/O-Level,Entry Level,Less than 1 Year,"Jan 24, 2025","Dec 23, 2024"
Management Trainee,https://www.rozee.pk/leading-petroleum-company-management-trainee-faisalabad-karachi-lahore-rawalpindi-jobs-1559618?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559618&utm_campaign=ROZEE.PK_job_search,Leading Petroleum Company,//www.rozee.pk/company/leading-petroleum-company,Multiple Cities,N/A,589 views,Posted Yesterday,Null,"Time Management,Interpersonal Skills,MS Excel",Mining / Petroleum,"Teachers/Education, Training & Development",18 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Masters,Entry Level,N/A,"Jan 11, 2025","Dec 24, 2024"
Senior Officer / Fuel Station Incharge,https://www.rozee.pk/leading-petroleum-company-senior-officer-fuel-station-incharge-islamabadkarachifaisalabadhari-purmardantobatek-singh-jobs-1557078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557078&utm_campaign=ROZEE.PK_job_search,Leading Petroleum Company,//www.rozee.pk/company/leading-petroleum-company,Multiple Cities,"PKR. 70,000 - 80,000/Month",1790 views,"Posted Dec 17, 2024",Null,"Managerial Skills,Operations Management,Record Keeping",Mining / Petroleum,Operations,5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Mardan, Hari Pur, Tobatek Singh",Male,Bachelors,Experienced Professional,N/A,"Jan 01, 2025","Dec 17, 2024"
Internship Program,https://www.rozee.pk/leamigo-internship-program-karachi-jobs-1559644?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559644&utm_campaign=ROZEE.PK_job_search,Leamigo,//www.rozee.pk/company/leamigo,Karachi,"PKR. 8,000 - 10,000/Month",193 views,Posted Yesterday,Null,"Problem Solving Skills,MS Excel,Time Management,Data Extraction,Typing Speed,Communication Skills,Data Management",Travel/Tourism/Transportation,Intern,4 Posts,Work from Home,Internship,Karachi,No Preference,Intermediate/A-Level,Intern/Student,Fresh,"Jan 25, 2025","Dec 24, 2024"
Order Processing Officer,https://www.rozee.pk/gull-khan-truck-art-order-processing-officer-karachi-jobs-1559736?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559736&utm_campaign=ROZEE.PK_job_search,Gull Khan Truck Art,//www.rozee.pk/company/gull-khan-truck-art,Karachi,"PKR. 30,000 - 35,000/Month",153 views,Posted Yesterday,Null,"Order Processing,Communication Skills,Customer Dealing",Packaging,Distribution & Logistics,1 Post,First Shift (Day),Full Time/Permanent,Karachi,No Preference,Intermediate/A-Level,Entry Level,1 Year,"Jan 25, 2025","Dec 24, 2024"
Training and Capacity Building Lead,https://www.rozee.pk/micromerger-pvt-ltd-training-and-capacity-building-lead-islamabad-karachi-peshawar-quetta-jobs-1559692?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559692&utm_campaign=ROZEE.PK_job_search,MicroMerger (Pvt.) Ltd.,//www.rozee.pk/company/micromerger-pvt-ltd1,Multiple Cities,"PKR. 100,000 - 150,000/Month",478 views,Posted Yesterday,Null,"Training Expertise,Training Facilitation,Organizational Skills,Technical Skills,Presentation Skills",Information Technology,Field Operations,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Peshawar, Quetta",No Preference,Bachelors,Experienced Professional,4 Years (4 years of relevant experience),"Jan 01, 2025","Dec 24, 2024"
Full Stack Developer - PHP,https://www.rozee.pk/devik-digital-solutions-full-stack-developer-php-karachi-jobs-1559642?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559642&utm_campaign=ROZEE.PK_job_search,Devik Digital Solutions,//www.rozee.pk/company/devik-digital-solutions,Karachi,"PKR. 30,000 - 60,000/Month",66 views,Posted Yesterday,Null,"Backend Development,MySQL,CorePHP,Laravel,PHP",Information Technology,Software & Web Development,2 Posts,Second Shift (Afternoon),Full Time/Permanent,Karachi,No Preference,Intermediate/A-Level,Entry Level,N/A,"Jan 25, 2025","Dec 24, 2024"
Operations Coordinator,https://www.rozee.pk/aptech-pakistan-operations-coordinator-karachi-jobs-1559638?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559638&utm_campaign=ROZEE.PK_job_search,Aptech Pakistan,//www.rozee.pk/company/aptech-pakistan,Karachi,"PKR. 35,000 - 40,000/Month",181 views,Posted Yesterday,Null,"Analytic Reporting,Communication Skills,MS Excel",Information Technology,Operations,1 Post,First Shift (Day),Full Time/Permanent,Karachi,No Preference,Bachelors,Entry Level,N/A,"Jan 25, 2025","Dec 24, 2024"
Telesales Supervisor,https://www.rozee.pk/go-ventures-telesales-supervisor-karachi-jobs-1558730?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558730&utm_campaign=ROZEE.PK_job_search,Go Ventures,//www.rozee.pk/company/go-ventures,Karachi,"PKR. 100,000 - 200,000/Month",267 views,Posted 3 days ago,Null,"Leadership Skills,Communication Skills,Telemarketing Skills",Call Center,Telemarketing,1 Post,Third Shift (Night),Full Time/Permanent,Karachi,No Preference,Bachelors,Entry Level,1 Year,"Jan 22, 2025","Dec 22, 2024"
Product Coordinator,https://www.rozee.pk/capra-sports-product-coordinator-karachi-jobs-1559396?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559396&utm_campaign=ROZEE.PK_job_search,Capra Sports,//www.rozee.pk/company/capra-sports,Karachi,"PKR. 45,000 - 50,000/Month",118 views,Posted Yesterday,Null,"MS Excel Dashboards,Communication Skills,Organizing Planning Skills,MS Excel,Close Attention to Detail",Apparel/Clothing,Product Management,1 Post,Third Shift (Night),Full Time/Permanent,Karachi,No Preference,Bachelors,Experienced Professional,3 Years,"Jan 24, 2025","Dec 24, 2024"
