Admin Manager,https://www.rozee.pk/beyond-rehab-group-admin-manager-islamabad-karachi-lahore-peshawar-quetta-rawalpindi-gilgit-jobs-1558748?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558748&utm_campaign=ROZEE.PK_job_search,Beyond Rehab Group,//www.rozee.pk/company/beyond-rehab-group,All Cities,"PKR. 100,000 - 175,000/Month",3499 views,Posted 3 days ago,Null,"Communication Skills,Admin Operations Management,Admin Management",Healthcare / Hospital / Medical,Administration,1 Post,Work from Home,Full Time/Permanent,All Cities,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 23, 2025","Dec 23, 2024"
Data Analyst,https://www.rozee.pk/ek-real-estate-data-analyst-islamabad-faisalabad-karachi-lahore-multan-rawalpindi-sialkot-abbottabad-jobs-1558700?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558700&utm_campaign=ROZEE.PK_job_search,EK Real Estate,//www.rozee.pk/company/ek-real-estate,Multiple Cities,"PKR. 20,000 - 30,000/Month",840 views,Posted 3 days ago,Null,"Data Analysis,Risk Management,Communication Skills",Real Estate/Property,Data Entry,20 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Multan, Rawalpindi, Sialkot, Abbottabad",No Preference,Bachelors,Entry Level,N/A,"Jan 22, 2025","Dec 23, 2024"
Field Collection & Default Officer,https://www.rozee.pk/mobilink-micro-finance-field-collection-default-officer-jobs-1559358.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559358&utm_campaign=ROZEE.PK_job_search,Mobilink Bank,//www.rozee.pk/company/mobilink-bank1,Multan,N/A,151 views,Posted 3 days ago,Null,,Banking/Financial Services,N/A,1  Post,N/A,Full Time/Permanent,Multan,No Preference,N/A,N/A,N/A,"Dec 27, 2024","Dec 23, 2024"
Social Media Marketing Specialist,https://www.rozee.pk/apac-packeging-solutions-social-media-marketing-specialist-multan-jobs-1558860?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558860&utm_campaign=ROZEE.PK_job_search,APAC Packeging Solutions,//www.rozee.pk/company/apac-packeging-solutions,Multan,"PKR. 50,000 - 60,000/Month",117 views,Posted 3 days ago,Null,"AI Programs,Digital Marketing Analysis,Social Media Handling,Social Media Optimization",Business Development,Marketing,1 Post,Hybrid Work Model,Full Time/Permanent,Multan,No Preference,Bachelors,Experienced Professional,N/A,"Jan 24, 2025","Dec 23, 2024"
UX / UI Designer,https://www.rozee.pk/cana-software-solution-ux-ui-designer-islamabad-karachi-lahore-multan-dera-ghazi-khan-jobs-1558812?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558812&utm_campaign=ROZEE.PK_job_search,CANA Software Solution,//www.rozee.pk/company/cana-software-solution,Multiple Cities,"PKR. 40,000 - 70,000/Month",89 views,Posted 3 days ago,Null,"Sketch,Adobe Illustrator,Adobe XD,Figma",E-Commerce / E- Business,Creative Design,1 Post,First Shift (Day),Part Time,"Islamabad, Karachi, Lahore, Multan, Dera Ghazi Khan",No Preference,Bachelors,Entry Level,1 Year,"Jan 24, 2025","Dec 23, 2024"
Laravel / NodeJS Developer,https://www.rozee.pk/many-tech-solutions-laravel-nodejs-developer-islamabad-karachi-lahore-multan-peshawar-sialkot-jhelum-taxila-jobs-1558698?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558698&utm_campaign=ROZEE.PK_job_search,Many Tech Solutions,//www.rozee.pk/company/many-tech-solutions,Multiple Cities,"PKR. 100,000 - 150,000/Month",293 views,Posted 4 days ago,Null,"RESTful APIs,PHP and Laravel,NodeJs,Linux,Vue.js,Plesk",Information Technology,Software & Web Development,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Lahore, Multan, Peshawar, Sialkot, Jhelum, Taxila",No Preference,Bachelors,Experienced Professional,2 Years,"Jan 22, 2025","Dec 22, 2024"
Sales / Business Development Manager,https://www.rozee.pk/ease-international-sales-business-development-manager-all-cities-jobs-1558722?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558722&utm_campaign=ROZEE.PK_job_search,Ease International,//www.rozee.pk/company/ease-international,All Cities,N/A,1925 views,Posted 4 days ago,Null,"Sales Management,Sales Automation,Business Development Process,Coordination Skills",Business Development,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Masters,Experienced Professional,N/A,"Jan 22, 2025","Dec 22, 2024"
Field Collection & Default Officer,https://www.rozee.pk/mobilink-micro-finance-field-collection-default-officer-jobs-1559356.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559356&utm_campaign=ROZEE.PK_job_search,Mobilink Bank,//www.rozee.pk/company/mobilink-bank1,Multan,N/A,69 views,Posted 3 days ago,Null,,Banking/Financial Services,N/A,1  Post,N/A,Full Time/Permanent,Multan,No Preference,N/A,N/A,N/A,"Dec 27, 2024","Dec 23, 2024"
Teller,https://www.rozee.pk/ravi-group-of-companies-teller-islamabad-faisalabad-gujranwala-lahore-multan-rawalpindi-jobs-1557964?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557964&utm_campaign=ROZEE.PK_job_search,Ravi Group of Companies,//www.rozee.pk/company/ravi-group-of-companies,Multiple Cities,"PKR. 30,000 - 35,000/Month",2207 views,"Posted Dec 19, 2024",Null,"Cash Handling,Transaction Record Management,Teller Operations Handling",Banking/Financial Services,"Accounts, Finance & Financial Services",5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Lahore, Multan, Rawalpindi",No Preference,Intermediate/A-Level,Experienced Professional,N/A,"Jan 02, 2025","Dec 19, 2024"
Cashier,https://www.rozee.pk/universal-surgical-company-cashier-multan-jobs-1558498?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558498&utm_campaign=ROZEE.PK_job_search,Universal Surgical Company,//www.rozee.pk/company/universal-surgical-company,Multan,"PKR. 10,000 - 20,000/Month",601 views,Posted 5 days ago,Null,"Cash Flow Management,Sale Reports,Invoice Management,Cash Flow Reporting,Cash Collection",Healthcare / Hospital / Medical,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,Multan,No Preference,Matriculation/O-Level,Entry Level,1 Year,"Jan 21, 2025","Dec 21, 2024"
Area Sales Manager,https://www.rozee.pk/time-2-grow-pvt-ltd-area-sales-manager-gujranwala-lahore-multan-rawalpindi-okara-jobs-1558310?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558310&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Time 2 Grow Pvt Ltd,//www.rozee.pk/company/time-2-grow-pvt-ltd,Multiple Cities,"PKR. 60,000 - 100,000/Month",670 views,Posted 6 days ago,Null,"Sales Management,Retail Sales,Distribution Handling,Communication Skills",Fast Moving Consumer Goods (FMCG),Sales & Business Development,4 Posts,First Shift (Day),Contract,"Gujranwala, Lahore, Multan, Rawalpindi, Okara",No Preference,Bachelors,Experienced Professional,4 Years,"Jan 11, 2025","Dec 20, 2024"
Null,https://www.rozee.pk/united-nations-pakistan-storekeeper-g4-multan-jobs-1558590?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558590&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Null,Null,Null,N/A,Null,Null,Null,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Null,https://www.rozee.pk/united-nations-pakistan-assistant-storekeeper-g3-multan-jobs-1558596?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558596&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Null,Null,Null,N/A,Null,Null,Null,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PHP / Laravel Developer,https://www.rozee.pk/delloweb-international-php-laravel-developer-multan-jobs-1558068?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558068&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Delloweb International,//www.rozee.pk/company/delloweb-international,Multan,N/A,93 views,Posted 6 days ago,Null,"Cloud Platforms,Database Understanding,MVC Architecture,Laravel,Executing Content,API Integration,Restful Architecture,OOP Principles",Information Technology,Software & Web Development,1 Post,First Shift (Day),Full Time/Permanent,Multan,No Preference,Bachelors,Experienced Professional,3 Years,"Jan 20, 2025","Dec 19, 2024"
